,City 1,State 1,City 2,State 2,State 2  W2V
0,Chicago,Illinois,Houston,Texas,Texas
1,Chicago,Illinois,Philadelphia,Pennsylvania,Pennsylvania
2,Chicago,Illinois,Phoenix,Arizona,Arizona
3,Chicago,Illinois,Dallas,Texas,Texas
4,Chicago,Illinois,Jacksonville,Florida,Tennessee
5,Chicago,Illinois,Indianapolis,Indiana,Indiana
6,Chicago,Illinois,Austin,Texas,Texas
7,Chicago,Illinois,Detroit,Michigan,Michigan
8,Chicago,Illinois,Memphis,Tennessee,Tennessee
9,Chicago,Illinois,Boston,Massachusetts,Massachusetts
10,Chicago,Illinois,Seattle,Washington,Oregon
11,Chicago,Illinois,Denver,Colorado,Colorado
12,Chicago,Illinois,Baltimore,Maryland,Maryland
13,Chicago,Illinois,Nashville,Tennessee,Tennessee
14,Chicago,Illinois,Louisville,Kentucky,Kentucky
15,Chicago,Illinois,Milwaukee,Wisconsin,Wisconsin
16,Chicago,Illinois,Portland,Oregon,Oregon
17,Chicago,Illinois,Tucson,Arizona,Arizona
18,Chicago,Illinois,Fresno,California,Nevada
19,Chicago,Illinois,Sacramento,California,California
20,Chicago,Illinois,Mesa,Arizona,Nevada
21,Chicago,Illinois,Atlanta,Georgia,Georgia
22,Chicago,Illinois,Omaha,Nebraska,Nebraska
23,Chicago,Illinois,Miami,Florida,Ohio
24,Chicago,Illinois,Tulsa,Oklahoma,Oklahoma
25,Chicago,Illinois,Oakland,California,Michigan
26,Chicago,Illinois,Cleveland,Ohio,Ohio
27,Chicago,Illinois,Minneapolis,Minnesota,Minnesota
28,Chicago,Illinois,Wichita,Kansas,Kansas
29,Chicago,Illinois,Arlington,Texas,Virginia
30,Chicago,Illinois,Bakersfield,California,Fresno
31,Chicago,Illinois,Tampa,Florida,None
32,Chicago,Illinois,Anaheim,California,None
33,Chicago,Illinois,Honolulu,Hawaii,Hawaii
34,Chicago,Illinois,Pittsburgh,Pennsylvania,Pennsylvania
35,Chicago,Illinois,Lexington,Kentucky,Kentucky
36,Chicago,Illinois,Stockton,California,None
37,Chicago,Illinois,Cincinnati,Ohio,Ohio
38,Chicago,Illinois,Anchorage,Alaska,None
39,Houston,Texas,Philadelphia,Pennsylvania,Pennsylvania
40,Houston,Texas,Phoenix,Arizona,Arizona
41,Houston,Texas,Jacksonville,Florida,Alabama
42,Houston,Texas,Indianapolis,Indiana,Indiana
43,Houston,Texas,Detroit,Michigan,Michigan
44,Houston,Texas,Memphis,Tennessee,Arkansas
45,Houston,Texas,Boston,Massachusetts,Massachusetts
46,Houston,Texas,Seattle,Washington,Oregon
47,Houston,Texas,Denver,Colorado,Colorado
48,Houston,Texas,Baltimore,Maryland,Maryland
49,Houston,Texas,Nashville,Tennessee,Tennessee
50,Houston,Texas,Louisville,Kentucky,Kentucky
51,Houston,Texas,Milwaukee,Wisconsin,Wisconsin
52,Houston,Texas,Portland,Oregon,Oregon
53,Houston,Texas,Tucson,Arizona,Arizona
54,Houston,Texas,Fresno,California,California
55,Houston,Texas,Sacramento,California,California
56,Houston,Texas,Mesa,Arizona,Pecos
57,Houston,Texas,Atlanta,Georgia,Georgia
58,Houston,Texas,Omaha,Nebraska,Nebraska
59,Houston,Texas,Miami,Florida,Florida
60,Houston,Texas,Tulsa,Oklahoma,Oklahoma
61,Houston,Texas,Oakland,California,California
62,Houston,Texas,Cleveland,Ohio,Ohio
63,Houston,Texas,Minneapolis,Minnesota,Minnesota
64,Houston,Texas,Wichita,Kansas,Kansas
65,Houston,Texas,Bakersfield,California,California
66,Houston,Texas,Tampa,Florida,None
67,Houston,Texas,Anaheim,California,None
68,Houston,Texas,Honolulu,Hawaii,Hawaii
69,Houston,Texas,Pittsburgh,Pennsylvania,Pennsylvania
70,Houston,Texas,Lexington,Kentucky,Kentucky
71,Houston,Texas,Stockton,California,None
72,Houston,Texas,Cincinnati,Ohio,Ohio
73,Houston,Texas,Anchorage,Alaska,None
74,Houston,Texas,Toledo,Ohio,None
75,Philadelphia,Pennsylvania,Phoenix,Arizona,Arizona
76,Philadelphia,Pennsylvania,Dallas,Texas,Texas
