City 1,State 1,City 2,State 2,State 2  W2V,State 2  W2V Sim
Chicago,Illinois,Jacksonville,Florida,Tennessee,0.644951105
Chicago,Illinois,Seattle,Washington,Oregon,0.760513544
Chicago,Illinois,Fresno,California,Nevada,0.596494436
Chicago,Illinois,Mesa,Arizona,Nevada,0.568590164
Chicago,Illinois,Miami,Florida,Ohio,0.643395901
Chicago,Illinois,Oakland,California,Michigan,0.565308928
Chicago,Illinois,Arlington,Texas,Virginia,0.54561007
Chicago,Illinois,Bakersfield,California,Fresno,0.620834589
Houston,Texas,Jacksonville,Florida,Alabama,0.644833565
Houston,Texas,Memphis,Tennessee,Arkansas,0.685780168
Houston,Texas,Seattle,Washington,Oregon,0.626142561
Houston,Texas,Mesa,Arizona,Pecos,0.51240015
Philadelphia,Pennsylvania,Jacksonville,Florida,Alabama,0.569529414
Philadelphia,Pennsylvania,Memphis,Tennessee,Kentucky,0.66205579
Philadelphia,Pennsylvania,Seattle,Washington,Oregon,0.681833148
Philadelphia,Pennsylvania,Nashville,Tennessee,Kentucky,0.61046809
Philadelphia,Pennsylvania,Fresno,California,Nevada,0.572283208
Philadelphia,Pennsylvania,Mesa,Arizona,Wyoming,0.517182589
Philadelphia,Pennsylvania,Miami,Florida,Ohio,0.61286962
Philadelphia,Pennsylvania,Oakland,California,Michigan,0.600254655
Philadelphia,Pennsylvania,Minneapolis,Minnesota,Wisconsin,0.628924012
Philadelphia,Pennsylvania,Arlington,Texas,Virginia,0.493984699
Phoenix,Arizona,Jacksonville,Florida,Alabama,0.647190273
Phoenix,Arizona,Seattle,Washington,Oregon,0.69940877
Phoenix,Arizona,Fresno,California,Oregon,0.62860322
Phoenix,Arizona,Sacramento,California,Fresno,0.68912375
Phoenix,Arizona,Bakersfield,California,Fresno,0.684485793
Phoenix,Arizona,Henderson,Nevada,Jenkins,0.531424403
Dallas,Texas,Jacksonville,Florida,Alabama,0.697398365
Dallas,Texas,Seattle,Washington,Oregon,0.627262473
Dallas,Texas,Henderson,Nevada,Patterson,0.510205626
Jacksonville,Florida,Memphis,Tennessee,Oklahoma,0.527952611
Jacksonville,Florida,Seattle,Washington,Oregon,0.532742739
Jacksonville,Florida,Mesa,Arizona,Colorado,0.489544719
Jacksonville,Florida,Henderson,Nevada,Robinson,0.535695016
Indianapolis,Indiana,Memphis,Tennessee,Arkansas,0.64928484
Indianapolis,Indiana,Seattle,Washington,Oregon,0.687410355
Indianapolis,Indiana,Fresno,California,Oregon,0.62183547
Indianapolis,Indiana,Oakland,California,Michigan,0.594916046
Indianapolis,Indiana,Arlington,Texas,Virginia,0.534919918
Indianapolis,Indiana,Henderson,Nevada,Hodges,0.535034895
Indianapolis,Indiana,Chandler,Arizona,Parker,0.483068675
Austin,Texas,Seattle,Washington,Oregon,0.555941582
Austin,Texas,Fresno,California,Bakersfield,0.599966943
Austin,Texas,Bakersfield,California,Fresno,0.624733925
Austin,Texas,Henderson,Nevada,Robinson,0.497280955
Detroit,Michigan,Seattle,Washington,Oregon,0.750126898
Detroit,Michigan,Fresno,California,Oregon,0.621640205
Detroit,Michigan,Minneapolis,Minnesota,Wisconsin,0.698090971
Detroit,Michigan,Arlington,Texas,Virginia,0.552602172
Detroit,Michigan,Bakersfield,California,Fresno,0.637264967
Detroit,Michigan,Henderson,Nevada,Morgan,0.529366076
Detroit,Michigan,Chandler,Arizona,Reynolds,0.449254364
Memphis,Tennessee,Seattle,Washington,Oregon,0.593453705
Memphis,Tennessee,Arlington,Texas,Virginia,0.555271149
Memphis,Tennessee,Henderson,Nevada,Smith,0.561116755
Memphis,Tennessee,Chandler,Arizona,Wilson,0.522777021
Memphis,Tennessee,Garland,Texas,Cobb,0.489904374
Boston,Massachusetts,Seattle,Washington,Oregon,0.679282069
Boston,Massachusetts,Mesa,Arizona,Nevada,0.565526545
Boston,Massachusetts,Arlington,Texas,Virginia,0.510088682
Boston,Massachusetts,Henderson,Nevada,Smith,0.481416643
Boston,Massachusetts,Laredo,Texas,Raymondville,0.471013635
Boston,Massachusetts,Chandler,Arizona,Gilbert,0.427688956
Boston,Massachusetts,Lubbock,Texas,Abilene,0.591782808
Boston,Massachusetts,Garland,Texas,McKinney,0.48125267
Boston,Massachusetts,Glendale,Arizona,Nevada,0.488518357
Seattle,Washington,Milwaukee,Wisconsin,Madison,0.557394207
Seattle,Washington,Portland,Oregon,Maine,0.493430316
Seattle,Washington,Fresno,California,Sacramento,0.479738206
Seattle,Washington,Sacramento,California,Fresno,0.523284674
Seattle,Washington,Omaha,Nebraska,Lincoln,0.436469674
Seattle,Washington,Oakland,California,Hillsdale,0.438316703
Seattle,Washington,Arlington,Texas,Virginia,0.412782639
Seattle,Washington,Bakersfield,California,Fresno,0.538700461
Seattle,Washington,Lexington,Kentucky,Frankfort,0.48743391
Seattle,Washington,Henderson,Nevada,Morgan,0.535220623
Seattle,Washington,Laredo,Texas,Grayson,0.426258266
Seattle,Washington,Chandler,Arizona,Wilson,0.529831052
Seattle,Washington,Madison,Wisconsin,Jefferson,0.508953691
Seattle,Washington,Lubbock,Texas,Waco,0.550997674
Seattle,Washington,Garland,Texas,Wilson,0.487775743
Seattle,Washington,Glendale,Arizona,Burbank,0.420130372
Denver,Colorado,Fresno,California,Bakersfield,0.63859731
Denver,Colorado,Bakersfield,California,Fresno,0.65016973
Denver,Colorado,Henderson,Nevada,Morgan,0.555714607
Denver,Colorado,Chandler,Arizona,Wilson,0.515719652
Baltimore,Maryland,Fresno,California,Oregon,0.613188982
Baltimore,Maryland,Mesa,Arizona,Colorado,0.53519094
Baltimore,Maryland,Arlington,Texas,Virginia,0.612990975
Baltimore,Maryland,Cincinnati,Ohio,Kentucky,0.671112895
Baltimore,Maryland,Henderson,Nevada,Davidson,0.556148171
Baltimore,Maryland,Chandler,Arizona,Parker,0.462893277
